"Entry","Name","Origin","Trait"
29,"CN 105732 AGL","Ethiopia","Protein"
35,"CN 105863 AGL","Tunisia","Protein"
37,"CN 105865 AGL","Tunisia","Protein"
73,"ILL 358 AGL","Ethiopia","Protein"
86,"ILL 4956 AGL","Portugal","Protein"
88,"ILL 5151 AGL","India","Protein"
90,"ILL 5480 AGL","Czech Republic","Protein"
132,"PI 175754 LSP AGL","Turkey","Protein"
153,"PI 238758 LSP AGL","Belgium","Protein"
161,"PI 289066 AGL","Czech Republic","Protein"
166,"PI 297287 AGL","Argentina","Protein"
181,"PI 298923 LSP AGL","Italy","Protein"
186,"PI 299163 LSP AGL","Chile","Protein"
191,"PI 299289 AGL","Chile","Protein"
192,"PI 299312 AGL","Chile","Protein"
193,"PI 299345 AGL","Chile","Protein"
209,"PI 320952 LSP AGL","Czech Republic","Protein"
221,"PI 345627 LSP AGL","Ukraine","Protein"
232,"PI 383682 LSP AGL","Turkey","Protein"
245,"PI 431633 LSP AGL","Iran","Protein"
276,"PI 432106 LSP AGL","Iran","Protein"
292,"PI 468901 AGL","Brazil","Protein"
293,"PI 468902 LSP AGL","Brazil","Protein"
304,"PI 472588 LSP AGL","Egypt","Protein"
312,"PI 518733 LSP AGL","Brazil","Protein"
29,"CN 105732 AGL","Ethiopia","Glutamate"
73,"ILL 358 AGL","Ethiopia","Glutamate"
86,"ILL 4956 AGL","Portugal","Glutamate"
88,"ILL 5151 AGL","India","Glutamate"
90,"ILL 5480 AGL","Czech Republic","Glutamate"
132,"PI 175754 LSP AGL","Turkey","Glutamate"
160,"PI 283604 LSP AGL","Portugal","Glutamate"
165,"PI 297285 LSP AGL","Argentina","Glutamate"
166,"PI 297287 AGL","Argentina","Glutamate"
181,"PI 298923 LSP AGL","Italy","Glutamate"
186,"PI 299163 LSP AGL","Chile","Glutamate"
192,"PI 299312 AGL","Chile","Glutamate"
193,"PI 299345 AGL","Chile","Glutamate"
209,"PI 320952 LSP AGL","Czech Republic","Glutamate"
221,"PI 345627 LSP AGL","Ukraine","Glutamate"
232,"PI 383682 LSP AGL","Turkey","Glutamate"
236,"PI 420929 LSP AGL","Jordan","Glutamate"
245,"PI 431633 LSP AGL","Iran","Glutamate"
292,"PI 468901 AGL","Brazil","Glutamate"
304,"PI 472588 LSP AGL","Egypt","Glutamate"
312,"PI 518733 LSP AGL","Brazil","Glutamate"
29,"CN 105732 AGL","Ethiopia","Aspartate"
73,"ILL 358 AGL","Ethiopia","Aspartate"
86,"ILL 4956 AGL","Portugal","Aspartate"
88,"ILL 5151 AGL","India","Aspartate"
90,"ILL 5480 AGL","Czech Republic","Aspartate"
97,"ILL 618 AGL","Tajikistan","Aspartate"
98,"ILL 6182 AGL","Tunisia","Aspartate"
132,"PI 175754 LSP AGL","Turkey","Aspartate"
135,"PI 178952 AGL","Turkey","Aspartate"
139,"PI 181771 LSP AGL","Lebanon","Aspartate"
146,"PI 207492 LSP AGL","Afghanistan","Aspartate"
161,"PI 289066 AGL","Czech Republic","Aspartate"
166,"PI 297287 AGL","Argentina","Aspartate"
181,"PI 298923 LSP AGL","Italy","Aspartate"
190,"PI 299237 LSP AGL","Chile","Aspartate"
191,"PI 299289 AGL","Chile","Aspartate"
192,"PI 299312 AGL","Chile","Aspartate"
209,"PI 320952 LSP AGL","Czech Republic","Aspartate"
232,"PI 383682 LSP AGL","Turkey","Aspartate"
245,"PI 431633 LSP AGL","Iran","Aspartate"
248,"PI 431662 LSP AGL","Iran","Aspartate"
258,"PI 431739 LSP AGL","Iran","Aspartate"
270,"PI 432001 LSP AGL","Iran","Aspartate"
292,"PI 468901 AGL","Brazil","Aspartate"
304,"PI 472588 LSP AGL","Egypt","Aspartate"
29,"CN 105732 AGL","Ethiopia","Arginine"
37,"CN 105865 AGL","Tunisia","Arginine"
73,"ILL 358 AGL","Ethiopia","Arginine"
86,"ILL 4956 AGL","Portugal","Arginine"
88,"ILL 5151 AGL","India","Arginine"
132,"PI 175754 LSP AGL","Turkey","Arginine"
160,"PI 283604 LSP AGL","Portugal","Arginine"
161,"PI 289066 AGL","Czech Republic","Arginine"
166,"PI 297287 AGL","Argentina","Arginine"
181,"PI 298923 LSP AGL","Italy","Arginine"
186,"PI 299163 LSP AGL","Chile","Arginine"
191,"PI 299289 AGL","Chile","Arginine"
192,"PI 299312 AGL","Chile","Arginine"
193,"PI 299345 AGL","Chile","Arginine"
209,"PI 320952 LSP AGL","Czech Republic","Arginine"
232,"PI 383682 LSP AGL","Turkey","Arginine"
245,"PI 431633 LSP AGL","Iran","Arginine"
292,"PI 468901 AGL","Brazil","Arginine"
304,"PI 472588 LSP AGL","Egypt","Arginine"
29,"CN 105732 AGL","Ethiopia","Leucine"
86,"ILL 4956 AGL","Portugal","Leucine"
88,"ILL 5151 AGL","India","Leucine"
90,"ILL 5480 AGL","Czech Republic","Leucine"
132,"PI 175754 LSP AGL","Turkey","Leucine"
153,"PI 238758 LSP AGL","Belgium","Leucine"
166,"PI 297287 AGL","Argentina","Leucine"
181,"PI 298923 LSP AGL","Italy","Leucine"
186,"PI 299163 LSP AGL","Chile","Leucine"
192,"PI 299312 AGL","Chile","Leucine"
209,"PI 320952 LSP AGL","Czech Republic","Leucine"
221,"PI 345627 LSP AGL","Ukraine","Leucine"
232,"PI 383682 LSP AGL","Turkey","Leucine"
245,"PI 431633 LSP AGL","Iran","Leucine"
292,"PI 468901 AGL","Brazil","Leucine"
304,"PI 472588 LSP AGL","Egypt","Leucine"
312,"PI 518733 LSP AGL","Brazil","Leucine"
86,"ILL 4956 AGL","Portugal","Phenylalanine"
90,"ILL 5480 AGL","Czech Republic","Phenylalanine"
132,"PI 175754 LSP AGL","Turkey","Phenylalanine"
166,"PI 297287 AGL","Argentina","Phenylalanine"
181,"PI 298923 LSP AGL","Italy","Phenylalanine"
192,"PI 299312 AGL","Chile","Phenylalanine"
209,"PI 320952 LSP AGL","Czech Republic","Phenylalanine"
232,"PI 383682 LSP AGL","Turkey","Phenylalanine"
245,"PI 431633 LSP AGL","Iran","Phenylalanine"
292,"PI 468901 AGL","Brazil","Phenylalanine"
304,"PI 472588 LSP AGL","Egypt","Phenylalanine"
312,"PI 518733 LSP AGL","Brazil","Phenylalanine"
86,"ILL 4956 AGL","Portugal","Serine"
88,"ILL 5151 AGL","India","Serine"
90,"ILL 5480 AGL","Czech Republic","Serine"
132,"PI 175754 LSP AGL","Turkey","Serine"
161,"PI 289066 AGL","Czech Republic","Serine"
166,"PI 297287 AGL","Argentina","Serine"
181,"PI 298923 LSP AGL","Italy","Serine"
192,"PI 299312 AGL","Chile","Serine"
204,"PI 320937 LSP AGL","Germany","Serine"
209,"PI 320952 LSP AGL","Czech Republic","Serine"
221,"PI 345627 LSP AGL","Ukraine","Serine"
232,"PI 383682 LSP AGL","Turkey","Serine"
245,"PI 431633 LSP AGL","Iran","Serine"
292,"PI 468901 AGL","Brazil","Serine"
